name,filename,source_page,image_url,width,height
Godzilla Pro,godzilla_pro.png,https://sternpinball.com/game/godzilla/,https://sternpinball.com/wp-content/uploads/2021/09/Godzilla-Pro-Details-Ambient-1-kj3nra-scaled.jpg,2560,1707
Deadpool Pro,deadpool_pro.png,https://sternpinball.com/game/deadpool/,https://sternpinball.com/wp-content/uploads/2018/09/DP-Pro-Cabinet-RF.png,1214,1990
Foo Fighters Pro,foo_fighters_pro.png,https://sternpinball.com/game/foo-fighters/,https://sternpinball.com/wp-content/uploads/2023/02/FooFighters-Pro-Cabinet-FF-adfadf-scaled.jpg,1021,2560
Avengers: Infinity Quest Pro,avengers_infinity_quest_pro.png,https://sternpinball.com/game/avengers-infinity-quest/,https://sternpinball.com/wp-content/uploads/2020/08/Avengers-Pro-Cabinet-FF-3tnasdf-scaled.jpg,1019,2560
Jurassic Park Pro,jurassic_park_pro.png,https://sternpinball.com/game/jurassic-park/,https://sternpinball.com/wp-content/uploads/2019/07/JurassicPark-Pro-CabinetFF.jpg,1242,3014
Venom Pro,venom_pro.png,https://sternpinball.com/game/venom/,https://sternpinball.com/wp-content/uploads/2023/07/Venom-Pro-Cabinet-FF-aefadf-scaled.jpg,1017,2560
The Mandalorian Pro,the_mandalorian_pro.png,https://sternpinball.com/game/the-mandalorian/,https://sternpinball.com/wp-content/uploads/2021/05/Mandalorian-Pro-Cabinet-FF-01-3hjhad-scaled.jpg,1050,2560
Iron Maiden Pro,iron_maiden_pro.png,https://sternpinball.com/game/iron-maiden/,https://sternpinball.com/wp-content/uploads/2018/10/IM-Pro-CabinetRF-01a.png,3112,4939
Jaws Pro,jaws_pro.png,https://sternpinball.com/game/jaws/,https://sternpinball.com/wp-content/uploads/2024/01/Game-Edition-PRO-3fnakef.png,3132,4918
Stranger Things Pro,stranger_things_pro.png,https://sternpinball.com/game/stranger-things/,https://sternpinball.com/wp-content/uploads/2019/12/StrangerThings-Pro-Cabinet-FF-4gnlkafad-scaled.jpg,1037,2560
Attack from Mars Remake,attack_from_mars_remake.png,https://www.chicago-gaming.com/coinop/attack-from-mars,https://www.chicago-gaming.com/images/afm/banner.webp,1430,590
Medieval Madness Remake,medieval_madness_remake.png,https://www.chicago-gaming.com/coinop/medieval-madness,https://www.chicago-gaming.com/images/mmr/banner4.webp,1430,590
Monster Bash Remake,monster_bash_remake.png,https://www.chicago-gaming.com/coinop/monster-bash,https://www.chicago-gaming.com/images/mb/banner.png,1430,355
Theatre of Magic,theatre_of_magic.png,https://en.wikipedia.org/wiki/Theatre_of_Magic,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Theatre_of_Magic_pinball_flyer.jpg/250px-Theatre_of_Magic_pinball_flyer.jpg,250,327
Monster Bash,monster_bash.png,https://en.wikipedia.org/wiki/Monster_Bash_(pinball),https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Monster_Bash_Promotional_Flyer.png/250px-Monster_Bash_Promotional_Flyer.png,250,326
Tales of the Arabian Nights,tales_of_the_arabian_nights.png,https://en.wikipedia.org/wiki/Tales_of_the_Arabian_Nights_(pinball),https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Tales_of_the_Arabian_Nights_Pinball_Flyer.png/250px-Tales_of_the_Arabian_Nights_Pinball_Flyer.png,250,324
Fish Tales,fish_tales.png,https://en.wikipedia.org/wiki/Fish_Tales_(pinball),https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/PinballFishtalesOblique.jpg/330px-PinballFishtalesOblique.jpg,330,509
FunHouse,funhouse.png,https://en.wikipedia.org/wiki/FunHouse_(pinball),https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/FunHouse_pinball.jpg/250px-FunHouse_pinball.jpg,250,362
The Godfather Collector's Edition,the_godfather_collector_s_edition.png,https://jerseyjackpinball.com/products/the-godfather-pinball-game-collectors-edition,https://jerseyjackpinball.com/cdn/shop/files/GodFather_CE_Cabinet_copy.png?height=650&v=1744951277,526,650
Elvira's House of Horrors,elvira_s_house_of_horrors.png,https://sternpinball.com/game/elviras-house-of-horrors/,https://sternpinball.com/wp-content/uploads/2019/09/Elvira-Premium-Cabinet-FF-239r83hfisudjhf34.png,1310,3300
